"individual","status","MDS1","MDS2","pred_immigrant","pred_resident"
"Wytham_UK_N199072","immigrant",0.400905227449951,0.054402682328596,1,0
"Wytham_UK_E985065","immigrant",0.112958901163115,-0.0699331034697989,0.08,0.92
"Wytham_UK_R639463","immigrant",0.195800623133014,-0.00947669903449213,1,0
"Wytham_UK_R040184","immigrant",-0.0204109369032009,-0.0256610325114361,0.32,0.68
"Wytham_UK_R639130","immigrant",-0.0022308751030407,-0.125212350361257,1,0
"Wytham_UK_H301196","immigrant",0.205243661909876,-0.0267443650983891,1,0
"Wytham_UK_L809630","immigrant",0.0172610121334855,-0.121232643555323,1,0
"Wytham_UK_T640374","immigrant",-0.116289209073922,0.0376570667753943,0,1
"Wytham_UK_X239718","immigrant",0.2209079713602,-0.0617616086311846,1,0
"Wytham_UK_J644956","immigrant",-0.081428773290575,-0.134508596570589,1,0
"Wytham_UK_T176813","immigrant",0.402675628151249,0.063641341044881,1,0
"Wytham_UK_X237904","immigrant",0.209147220054521,0.0119740881892619,1,0
"Wytham_UK_J644997","immigrant",-0.130833814156172,0.0908206899167758,0.06,0.94
"Wytham_UK_X239905","immigrant",0.28151877802112,0.0203448996295137,1,0
"Wytham_UK_T640344","immigrant",-0.0637190839887486,-0.0190280443017118,1,0
"Wytham_UK_R040057","immigrant",-0.0683646724468814,-0.012420415928513,1,0
"Wytham_UK_R639280","immigrant",-0.130202439097991,0.0157439865675936,0,1
"Wytham_UK_T640002","immigrant",-0.0421453586445297,-0.101455133370833,0.42,0.58
"Wytham_UK_C695386","immigrant",0.22650263294393,-0.0232184156441702,1,0
"Wytham_UK_T640209","immigrant",0.332502197389871,0.0575307726533558,1,0
"Wytham_UK_N199447","immigrant",-0.096145731859882,0.0449845629550576,0.88,0.12
"Wytham_UK_X239705","immigrant",-0.0808102652710794,-0.0911774339234662,1,0
"Wytham_UK_N200935","immigrant",-0.081673537543564,-0.103887956775576,0.26,0.74
"Wytham_UK_T550164","immigrant",0.334123951984855,0.0426554531365178,1,0
"Wytham_UK_R639004","immigrant",-0.131714844476006,0.127185372063356,0.04,0.96
"Wytham_UK_T640003","immigrant",0.321652127402926,0.0155695057358604,1,0
"Wytham_UK_K578717","immigrant",-0.0476159791656735,-0.114204482356726,0.08,0.92
"Wytham_UK_L315804","immigrant",0.0932298369550278,-0.0597456459152266,0.26,0.74
"Wytham_UK_T640328","immigrant",0.246950603681533,0.00393940647409609,1,0
"Wytham_UK_X235634","immigrant",0.162385158685648,-0.0344585146917608,1,0
"Wytham_UK_T640207","immigrant",0.0121119824719805,-0.126513111344847,1,0
"Wytham_UK_Y033824","immigrant",0.284267298643637,0.0343300070239788,1,0
"Wytham_UK_T550135","immigrant",-0.00608160037747092,0.115007523612167,0,1
"Wytham_UK_X237918","immigrant",0.23731486728662,-0.0224826712889802,1,0
"Wytham_UK_R040089","immigrant",0.342330267979288,0.0455873314594048,1,0
"Wytham_UK_P439282","immigrant",0.131314434730098,-0.0461536576697682,1,0
"Wytham_UK_N199707","immigrant",-0.0424404400895219,-0.0250740436392752,0.02,0.98
"Wytham_UK_T640728","immigrant",-0.115155082714506,0.0271084577121489,0.18,0.82
"Wytham_UK_X235619","immigrant",-0.0709170176882777,-0.0729876991585686,0.56,0.44
"Wytham_UK_Y033816","immigrant",0.184807762796273,-0.0511846344353227,1,0
"Wytham_UK_T177600","immigrant",0.0266876483202828,-0.0985284511142348,0.24,0.76
"Wytham_UK_N200581","immigrant",-0.00741875170167906,-0.0626629338204876,1,0
"Wytham_UK_N199646","immigrant",0.393256838642389,0.0557707460376884,1,0
"Wytham_UK_T176477","immigrant",-0.0634761918572516,-0.106412452110345,0.06,0.94
"Wytham_UK_C695356","immigrant",-0.0137694310027117,-0.108751372699412,0.02,0.98
"Wytham_UK_N200674","immigrant",-0.0995451412891285,-0.134963354160395,0.78,0.22
"Wytham_UK_E509370","immigrant",0.177580239362002,-0.0282486675334028,1,0
"Wytham_UK_T550189","immigrant",-0.104421247408985,0.00335772961374971,0.98,0.02
"Wytham_UK_X235620","immigrant",-0.157778831914602,0.149959571296599,0,1
"Wytham_UK_TK27091","immigrant",-0.129098892633792,0.133970891641051,0.06,0.94
"Wytham_UK_R040039","immigrant",0.0217518658553305,-0.116202957390248,0.94,0.06
"Wytham_UK_TC58859","immigrant",-0.0814357878365066,-0.132748133428761,0.82,0.18
"Wytham_UK_N200810","immigrant",-0.0685923725667401,-0.152011423272078,0.24,0.76
"Wytham_UK_E985071","immigrant",-0.0203193376360369,-0.00718875628912005,0.12,0.88
"Wytham_UK_X237894","immigrant",0.130717746009449,-0.0271332881386612,0.88,0.12
"Wytham_UK_L808160","immigrant",-0.0778028113012432,-0.118971055343855,0,1
"Wytham_UK_L315806","immigrant",-0.175730500646444,0.191254998979449,0,1
"Wytham_UK_A225307","immigrant",-0.146139469980707,0.0880245302713516,0,1
"Wytham_UK_N200941","immigrant",-0.0914419075551849,-0.0661591294844411,0,1
"Wytham_UK_P439051","immigrant",-0.0702970414196264,-0.0710486104367495,0.14,0.86
"Wytham_UK_N200584","immigrant",-0.139906135749396,0.0970904115661204,0,1
"Wytham_UK_N200115","immigrant",-0.141473867010045,0.0788835021514513,0,1
"Wytham_UK_J644950","immigrant",0.165594698192707,-0.0201078223700669,1,0
"Wytham_UK_N199441","immigrant",-0.0777260641645158,-0.107188541169758,1,0
"Wytham_UK_T640673","immigrant",0.154949785735713,-0.0129653525476036,1,0
"Wytham_UK_N199703","immigrant",0.066859470213798,-0.03999051342614,0.64,0.36
